7,4,10,3,91,561,42,213,0,0,0,0,0,0,0,0,6,172,303,0,7,0,0
37,0,51,3,145,1006,31,395,0,0,6,0,0,17,17,0,1,53,27,0,4,3,26
43,0,62,5,226,941,70,543,0,0,0,0,0,0,0,0,6,231,480,0,43,0,0
178,395,168,20,427,3999,170,742,0,0,0,0,0,0,0,0,19,278,287,0,140,0,0
31,20,159,3,190,1749,7,466,0,0,0,0,0,0,0,0,8,89,64,0,31,0,0
72,14,50,5,262,1315,78,692,0,0,0,0,0,0,0,0,12,253,549,0,56,0,0
15,0,13,2,176,461,17,240,0,0,0,0,0,0,0,0,7,175,259,0,15,0,0
15,4,72,2,149,924,15,436,0,0,0,0,0,0,0,0,7,92,29,0,15,0,0
26,0,10,1,183,509,21,204,0,0,0,0,0,0,0,0,6,118,128,0,26,0,0
42,0,10,3,206,442,30,287,0,0,3,0,1,8,15,0,3,47,63,0,18,1,15
116,0,7,19,190,533,83,243,0,0,8,0,1,18,11,0,1,11,5,0,8,1,17
85,34,28,8,290,1797,123,331,0,0,271,0,1,67,75,0,3,97,98,0,29,3,82
89,5,32,10,333,1649,135,462,0,0,327,0,2,73,149,0,8,125,141,0,29,3,90
0,0,0,0,26,58,3,33,0,0,0,0,0,0,0,0,4,100,170,0,0,0,0
93,12,66,8,228,1052,66,518,0,0,0,0,0,0,0,0,4,170,347,0,75,0,0
75,0,0,9,98,476,143,72,0,0,199,0,1,63,108,0,1,27,31,0,3,3,126
12,16,49,2,198,1288,5,775,0,0,0,0,0,0,0,0,18,332,687,0,0,0,0
77,0,5,2,155,490,46,99,0,0,54,0,2,44,19,0,0,10,1,0,1,1,43
2,0,1,0,35,141,14,46,0,0,0,0,0,0,0,0,7,214,366,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,77,25,0,0,0,0
121,9,50,13,311,1745,125,390,0,0,244,0,1,57,78,0,3,87,82,0,46,3,76
0,0,0,0,0,0,0,0,0,0,71,0,0,0,5,0,0,0,6,0,0,0,0
19,19,27,6,167,1182,24,557,0,0,0,0,0,0,0,0,10,278,551,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,90,178,0,0,0,0
119,7,19,13,226,1319,142,222,0,0,213,0,1,44,74,0,1,52,48,0,19,10,112
88,0,1,16,72,325,72,119,0,0,44,0,6,9,5,0,0,1,2,0,0,16,72
20,1,24,3,174,661,50,442,0,0,0,0,0,0,0,0,11,279,540,0,20,0,0
0,0,1,0,29,117,0,98,0,0,0,0,0,0,0,0,5,104,169,0,0,0,0
17,0,19,4,155,717,13,351,0,0,0,0,0,0,0,0,9,164,291,0,9,0,0
150,0,14,9,248,984,112,293,0,0,108,0,1,33,58,0,2,15,5,0,14,5,97
25,18,61,8,244,1251,43,659,0,0,0,0,0,0,0,0,5,135,198,0,25,0,0
10,0,18,0,66,641,1,293,0,0,0,0,0,0,0,0,9,144,315,0,3,0,0
